# Nifty 500 stock -> Kite-supported sector index map
# Source: NSE archives ind_nifty500list.csv
# Retrieved: 2026-06-02
# Generated from the NSE Industry column and mapped only where this app has a clear Kite-supported sector index proxy.
# Unmapped NSE industries: Capital Goods, Chemicals, Consumer Services, Diversified, Services, Textiles.
# Those symbols still scan normally; they just skip the sector-strength filter.
symbol,sector_index
TITAN,NIFTY CONSR DURBL
TORNTPHARM,NIFTY HEALTHCARE
TORNTPOWER,NIFTY ENERGY
TIINDIA,NIFTY AUTO
UCOBANK,NIFTY FIN SERVICE
UNOMINDA,NIFTY AUTO
UTIAMC,NIFTY FIN SERVICE
ULTRACEMCO,NIFTY INFRA
UNIONBANK,NIFTY FIN SERVICE
UBL,NIFTY FMCG
UNITDSPR,NIFTY FMCG
VBL,NIFTY FMCG
VEDL,NIFTY METAL
VIJAYA,NIFTY HEALTHCARE
IDEA,NIFTY INFRA
VOLTAS,NIFTY CONSR DURBL
WHIRLPOOL,NIFTY CONSR DURBL
WIPRO,NIFTY IT
WOCKPHARMA,NIFTY HEALTHCARE
YESBANK,NIFTY FIN SERVICE
ZFCVINDIA,NIFTY AUTO
ZEEL,NIFTY MEDIA
ZENSARTECH,NIFTY IT
ZYDUSLIFE,NIFTY HEALTHCARE
ZYDUSWELL,NIFTY FMCG
